obs.ID,PLOT_CODE,SITEABBR,PLOT_ID,YEAR,BASE_REP,TARGET_HAB,light.mean,moist.mean,ph.mean,fert.mean,comp.mean,stress.mean,rud.mean,light.mean.wt,moist.mean.wt,ph.mean.wt,fert.mean.wt,comp.mean.wt,stress.mean.wt,rud.mean.wt
BBE46_2012,BBE_46,BBE,46,2012,base,Heathland,6,6.818181818,8,2.818181818,3.727272727,4.272727273,1,6.109589041,7.01369863,8.410958904,2.45890411,4.616438356,5.068493151,1.143835616
BBE47_2012,BBE_47,BBE,47,2012,base,Heathland,5.125,6,7.625,3.875,4.875,5.5,0.75,5.400801603,6.448897796,7.771543086,3.54509018,5.184368737,5.965931864,0.80761523
BBE48_2012,BBE_48,BBE,48,2012,base,Heathland,5.5,6.388888889,9.333333333,5.222222222,5,5.333333333,3.277777778,5.489096573,6.439252336,9.295950156,5.218068536,5.38317757,5.61682243,2.99376947
BBE49_2012,BBE_49,BBE,49,2012,base,Heathland,5,5.909090909,7.636363636,4.636363636,5.727272727,6.545454545,0.909090909,5.4,6.378947368,8.431578947,5.578947368,6.905263158,6.368421053,0.978947368
BBE5_2012,BBE_5,BBE,5,2012,base,Broadleaved woodland,6.5,6.5,7.5,4.5,3.5,3.5,0.5,6.909090909,7.727272727,7.909090909,4.909090909,6.363636364,6.363636364,0.909090909
BBE6_2012,BBE_6,BBE,6,2012,base,Broadleaved woodland,3.666666667,4.666666667,8,6,6,7.666666667,1,3.625,4.625,8,6,5.875,7.75,1
BBE8_2012,BBE_8,BBE,8,2012,base,Broadleaved woodland,5.529411765,6.529411765,9.352941176,5.411764706,5.294117647,5.647058824,3.470588235,5.737327189,6.737327189,9.65437788,5.036866359,4.870967742,4.97235023,4.414746544
BBE9_2012,BBE_9,BBE,9,2012,base,Broadleaved woodland,7,8,10,4,9,4,1,7,8,10,4,9,4,1
BMA1_2010,BMA_1,BMA,1,2010,base,Lowland fen,7,8,10.33333333,6.444444444,6.833333333,2.166666667,2.555555556,6.863636364,7.863636364,9.462121212,6.590909091,6.810606061,1.803030303,1.818181818
BMA10_2010,BMA_10,BMA,10,2010,base,Lowland fen,7.095238095,8.095238095,10.04761905,6.333333333,6.142857143,2.904761905,3.047619048,7.301675978,8.301675978,9.754189944,6.541899441,6.273743017,3.234636872,3.726256983
BMA11_2010,BMA_11,BMA,11,2010,base,Lowland fen,6.947368421,7.947368421,10.52631579,6.263157895,7.157894737,3.368421053,3.421052632,6.893442623,7.893442623,9.155737705,6.663934426,8.024590164,3.139344262,2.409836066
BMA12_2010,BMA_12,BMA,12,2010,base,Lowland fen,6.818181818,7.818181818,10.45454545,6.909090909,7.636363636,1.909090909,1.363636364,6.754901961,7.754901961,9.058823529,6.941176471,7.823529412,1.970588235,0.911764706
BMA13_2010,BMA_13,BMA,13,2010,base,Lowland fen,6.962962963,7.888888889,10.22222222,5.851851852,5.296296296,3.62962963,3.111111111,7.154228856,8.144278607,10.02985075,6.447761194,6.731343284,3.432835821,2.925373134
BMA14_2010,BMA_14,BMA,14,2010,base,Lowland fen,7.153846154,8.153846154,10.69230769,6.076923077,4.307692308,1.230769231,1.692307692,7.174418605,8.174418605,8.872093023,6.104651163,6.488372093,1.127906977,1.244186047
BMA15_2010,BMA_15,BMA,15,2010,base,Lowland fen,7.133333333,8.133333333,10.13333333,6.4,6.266666667,2.133333333,1.6,7.31292517,8.31292517,9.476190476,6.462585034,6.19047619,2.782312925,1.027210884
BMA16_2010,BMA_16,BMA,16,2010,base,Lowland fen,7,8,10.7,6.3,5.3,1.3,1.4,7.060606061,8.060606061,8.060606061,6.287878788,5.53030303,1,0.742424242
BMA17_2010,BMA_17,BMA,17,2010,base,Lowland fen,6.777777778,7.777777778,10.44444444,6.777777778,8.111111111,2.222222222,1.555555556,6.960784314,7.960784314,9.411764706,6.950980392,8.352941176,2.274509804,1.156862745
BMA18_2010,BMA_18,BMA,18,2010,base,Lowland fen,6.95,7.95,10,6.5,6.8,2.65,2.35,7,8,9.082474227,6.865979381,6.994845361,3.025773196,1.432989691
BMA19_2010,BMA_19,BMA,19,2010,base,Lowland fen,7.2,8.2,10.8,6.9,6,2,1.5,7.220338983,8.220338983,9.940677966,7.016949153,7.398305085,2.5,1.5
BMA2_2010,BMA_2,BMA,2,2010,base,Lowland fen,6.947368421,7.947368421,10.36842105,6.210526316,6.526315789,2.842105263,2.315789474,6.835714286,7.835714286,10.24285714,6.542857143,6.321428571,1.878571429,1.278571429
BMA20_2010,BMA_20,BMA,20,2010,base,Lowland fen,7,8,8.8,6.7,6.9,3,2.5,7,8,8.527472527,7.098901099,5.89010989,2.648351648,1.32967033
BMA21_2010,BMA_21,BMA,21,2010,base,Lowland fen,7.333333333,8.333333333,9.619047619,5.857142857,4.047619048,2.904761905,2.523809524,7.443478261,8.443478261,9,5.326086957,3.569565217,2.130434783,1.92173913
BMA22_2010,BMA_22,BMA,22,2010,base,Lowland fen,7.285714286,8.285714286,10,5.857142857,4.714285714,3.464285714,2.821428571,7.452380952,8.452380952,10.01360544,5.775510204,5.37414966,3.306122449,2.836734694
BMA23_2010,BMA_23,BMA,23,2010,base,Lowland fen,7.272727273,8.272727273,9.909090909,6.818181818,7.090909091,2.363636364,1.818181818,7.470967742,8.470967742,8.851612903,6.664516129,6.238709677,3.096774194,0.987096774
BMA24_2010,BMA_24,BMA,24,2010,base,Lowland fen,6.9,7.9,10.6,6.7,6.1,1.6,1.7,6.795081967,7.795081967,9.516393443,6.967213115,7.06557377,1.442622951,1.426229508
BMA25_2010,BMA_25,BMA,25,2010,base,Lowland fen,7.055555556,8.055555556,10.27777778,6.388888889,5.444444444,2.111111111,1.722222222,7.018518519,8.018518519,10.02469136,6.858024691,6.074074074,2.432098765,1.228395062
BMA26_2010,BMA_26,BMA,26,2010,base,Lowland fen,6.461538462,7.384615385,9.230769231,6.307692308,6,2.461538462,1.076923077,6.953333333,7.946666667,9.88,7.093333333,6.806666667,2.413333333,0.933333333
BMA28_2010,BMA_28,BMA,28,2010,base,Lowland fen,7.142857143,8.142857143,9.904761905,6.238095238,5.80952381,2.857142857,2.619047619,7.256302521,8.256302521,9.928571429,6.600840336,5.613445378,2.592436975,2.319327731
BMA29_2010,BMA_29,BMA,29,2010,base,Lowland fen,7.307692308,8.307692308,9.307692308,6.307692308,5.923076923,2.384615385,2.384615385,7.553030303,8.553030303,7.628787879,6.742424242,5.492424242,3.46969697,2.212121212
BMA3_2010,BMA_3,BMA,3,2010,base,Lowland fen,6.954545455,8.045454545,10.27272727,6.136363636,5.954545455,2.227272727,2.5,7.035714286,8.05,9.735714286,6.592857143,6.607142857,2.507142857,2.428571429
BMA30_2010,BMA_30,BMA,30,2010,base,Broadleaved woodland,6.8,7.8,7.6,6.5,4.4,3.5,3.4,7.244444444,8.244444444,5.888888889,6.966666667,6.677777778,3.477777778,3.022222222
BMA31_2010,BMA_31,BMA,31,2010,base,Broadleaved woodland,5.666666667,6.5,9.333333333,5.333333333,6.833333333,2.166666667,2.333333333,6.333333333,7.242424242,10.75757576,6.151515152,7.848484848,3.272727273,1.545454545
BMA32_2010,BMA_32,BMA,32,2010,base,Broadleaved woodland,6.9,7.9,9.7,6.7,7.2,1.7,1.5,6.681818182,7.681818182,7.545454545,6.848484848,6.257575758,1.166666667,1
BMA33_2010,BMA_33,BMA,33,2010,base,Broadleaved woodland,5.875,6.875,10.125,6.25,6.25,3.25,0.875,6.564102564,7.564102564,11.43589744,6.769230769,7.41025641,3.58974359,0.871794872
BMA34_2010,BMA_34,BMA,34,2010,base,Broadleaved woodland,6.2,7.333333333,9.866666667,6.133333333,5.733333333,2.466666667,2,6.478723404,7.510638298,10.73404255,6.191489362,4.893617021,2.117021277,1.936170213
BMA35_2010,BMA_35,BMA,35,2010,base,Broadleaved woodland,5.666666667,6.555555556,8.833333333,5.444444444,5.166666667,2.611111111,1.555555556,6.393162393,7.376068376,9.837606838,5.974358974,4.675213675,2.042735043,0.863247863
BMA36_2010,BMA_36,BMA,36,2010,base,Broadleaved woodland,6,7.066666667,10.46666667,6.266666667,6.733333333,3.066666667,1.266666667,6.267605634,7.295774648,10.94366197,6.549295775,6.098591549,3.154929577,0.873239437
BMA37_2010,BMA_37,BMA,37,2010,base,Broadleaved woodland,6.583333333,7.583333333,10.66666667,6.75,7.25,2.75,1.5,6.8,7.8,10.37333333,6.946666667,7.853333333,2.626666667,1.186666667
BMA38_2010,BMA_38,BMA,38,2010,base,Broadleaved woodland,6.909090909,7.909090909,9.454545455,5.909090909,4.909090909,1.909090909,0.545454545,7,8,8.693181818,5.420454545,3.875,0.988636364,0.409090909
BMA39_2010,BMA_39,BMA,39,2010,base,Broadleaved woodland,6.5,7.5,8.166666667,6.666666667,7,3.833333333,0.833333333,6.525,7.525,8.425,6.8,7.775,3.2,0.875
BMA4_2010,BMA_4,BMA,4,2010,base,Lowland fen,7.2,8.2,10.7,6.6,7.1,2.6,2.6,7.247863248,8.247863248,9.786324786,7.068376068,6.752136752,2.333333333,1.282051282
BMA40_2010,BMA_40,BMA,40,2010,base,Broadleaved woodland,6,7,10.33333333,6.083333333,5.833333333,4.166666667,0.833333333,6.380952381,7.380952381,10.92063492,6.079365079,5.333333333,3.349206349,0.666666667
BMA41_2010,BMA_41,BMA,41,2010,base,Broadleaved woodland,5.6,6.7,10,5.8,6.8,5.3,1,6.204545455,7.272727273,11.02272727,6.431818182,7.681818182,4.727272727,0.954545455
BMA42_2010,BMA_42,BMA,42,2010,base,Broadleaved woodland,6.555555556,7.555555556,10.16666667,6.5,7.277777778,3.722222222,2.333333333,6.417721519,7.417721519,9.607594937,6.784810127,5.860759494,2.126582278,1.202531646
BMA43_2010,BMA_43,BMA,43,2010,base,Broadleaved woodland,6,7.045454545,9.454545455,5.681818182,5.863636364,2.954545455,1.954545455,6.512987013,7.525974026,10.37012987,5.824675325,6.532467532,2.649350649,1.922077922
BMA44_2010,BMA_44,BMA,44,2010,base,Broadleaved woodland,5.461538462,6.384615385,8.923076923,5.307692308,5.615384615,3.076923077,2.076923077,5.645833333,6.625,9.979166667,5.666666667,4.0625,2.583333333,1.708333333
BMA45_2010,BMA_45,BMA,45,2010,base,Broadleaved woodland,5.823529412,6.764705882,9.411764706,5.705882353,6.058823529,3.058823529,1.470588235,6.136363636,7.113636364,10.5,6.272727273,5.522727273,3.079545455,1.011363636
BMA46_2010,BMA_46,BMA,46,2010,base,Broadleaved woodland,6.5625,7.5625,10.25,6.3125,6.875,2.0625,2,6.1953125,7.1953125,9.78125,6.4765625,5.9140625,1.9609375,1.703125
BMA47_2010,BMA_47,BMA,47,2010,base,Broadleaved woodland,5.933333333,6.866666667,9,5.8,6,3.2,2,5.972727273,6.909090909,9.927272727,5.654545455,4.936363636,2.127272727,1.672727273
